path,filename,label,label_id,source_dataset,show,episode,clip_id,speaker_group,split
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_0.wav,HeStutters_0_0.wav,fluent,0,SEP-28k,HeStutters,0,0,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_1.wav,HeStutters_0_1.wav,fluent,0,SEP-28k,HeStutters,0,1,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_2.wav,HeStutters_0_2.wav,fluent,0,SEP-28k,HeStutters,0,2,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_3.wav,HeStutters_0_3.wav,stutter,1,SEP-28k,HeStutters,0,3,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_4.wav,HeStutters_0_4.wav,fluent,0,SEP-28k,HeStutters,0,4,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_5.wav,HeStutters_0_5.wav,stutter,1,SEP-28k,HeStutters,0,5,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_6.wav,HeStutters_0_6.wav,fluent,0,SEP-28k,HeStutters,0,6,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_7.wav,HeStutters_0_7.wav,fluent,0,SEP-28k,HeStutters,0,7,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_8.wav,HeStutters_0_8.wav,fluent,0,SEP-28k,HeStutters,0,8,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_9.wav,HeStutters_0_9.wav,fluent,0,SEP-28k,HeStutters,0,9,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_10.wav,HeStutters_0_10.wav,stutter,1,SEP-28k,HeStutters,0,10,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_11.wav,HeStutters_0_11.wav,fluent,0,SEP-28k,HeStutters,0,11,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_12.wav,HeStutters_0_12.wav,fluent,0,SEP-28k,HeStutters,0,12,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_13.wav,HeStutters_0_13.wav,stutter,1,SEP-28k,HeStutters,0,13,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_14.wav,HeStutters_0_14.wav,stutter,1,SEP-28k,HeStutters,0,14,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_15.wav,HeStutters_0_15.wav,fluent,0,SEP-28k,HeStutters,0,15,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_16.wav,HeStutters_0_16.wav,fluent,0,SEP-28k,HeStutters,0,16,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_17.wav,HeStutters_0_17.wav,fluent,0,SEP-28k,HeStutters,0,17,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_18.wav,HeStutters_0_18.wav,stutter,1,SEP-28k,HeStutters,0,18,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_19.wav,HeStutters_0_19.wav,stutter,1,SEP-28k,HeStutters,0,19,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_20.wav,HeStutters_0_20.wav,fluent,0,SEP-28k,HeStutters,0,20,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_21.wav,HeStutters_0_21.wav,fluent,0,SEP-28k,HeStutters,0,21,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_22.wav,HeStutters_0_22.wav,fluent,0,SEP-28k,HeStutters,0,22,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_23.wav,HeStutters_0_23.wav,fluent,0,SEP-28k,HeStutters,0,23,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_24.wav,HeStutters_0_24.wav,fluent,0,SEP-28k,HeStutters,0,24,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_25.wav,HeStutters_0_25.wav,stutter,1,SEP-28k,HeStutters,0,25,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_26.wav,HeStutters_0_26.wav,fluent,0,SEP-28k,HeStutters,0,26,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_27.wav,HeStutters_0_27.wav,stutter,1,SEP-28k,HeStutters,0,27,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_28.wav,HeStutters_0_28.wav,stutter,1,SEP-28k,HeStutters,0,28,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_29.wav,HeStutters_0_29.wav,fluent,0,SEP-28k,HeStutters,0,29,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_31.wav,HeStutters_0_31.wav,stutter,1,SEP-28k,HeStutters,0,31,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_32.wav,HeStutters_0_32.wav,fluent,0,SEP-28k,HeStutters,0,32,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_33.wav,HeStutters_0_33.wav,stutter,1,SEP-28k,HeStutters,0,33,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_34.wav,HeStutters_0_34.wav,fluent,0,SEP-28k,HeStutters,0,34,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_35.wav,HeStutters_0_35.wav,fluent,0,SEP-28k,HeStutters,0,35,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_36.wav,HeStutters_0_36.wav,fluent,0,SEP-28k,HeStutters,0,36,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_37.wav,HeStutters_0_37.wav,stutter,1,SEP-28k,HeStutters,0,37,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_38.wav,HeStutters_0_38.wav,stutter,1,SEP-28k,HeStutters,0,38,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_0_39.wav,HeStutters_0_39.wav,stutter,1,SEP-28k,HeStutters,0,39,HeStutters_0,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_1_0.wav,HeStutters_1_0.wav,stutter,1,SEP-28k,HeStutters,1,0,HeStutters_1,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_1_1.wav,HeStutters_1_1.wav,stutter,1,SEP-28k,HeStutters,1,1,HeStutters_1,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_1_2.wav,HeStutters_1_2.wav,stutter,1,SEP-28k,HeStutters,1,2,HeStutters_1,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_1_3.wav,HeStutters_1_3.wav,stutter,1,SEP-28k,HeStutters,1,3,HeStutters_1,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_1_4.wav,HeStutters_1_4.wav,fluent,0,SEP-28k,HeStutters,1,4,HeStutters_1,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_1_5.wav,HeStutters_1_5.wav,stutter,1,SEP-28k,HeStutters,1,5,HeStutters_1,train
data/raw/sep28k/clips/stuttering-clips/clips/HeStutters_1_6.wav,HeStutters_1_6.wav,stutter,1,SEP-28k,HeStutters,1,6,HeStutters_1,train
